IDCode,n_items,n_rg,n_rg_incorrect,n_rg_correct,median_rt,mean_rt,rg_rate,flag_rg_participant
roho333,57,0,0,0,24.80733333333333,27.79564912280702,0.0,False
ropi792,57,32,0,32,4.5,8.572964912280701,0.5614035087719298,True
rozu771,57,6,6,0,12.552,22.382824561403506,0.10526315789473684,True
ruco451,57,0,0,0,11.673333333333334,17.759522727272728,0.0,False
ruhu758,57,0,0,0,13.84225,20.508842105263156,0.0,False
ryfy568,57,3,1,2,6.735,13.096456140350877,0.05263157894736842,False
ryhy064,57,3,0,3,6.8,14.435105263157894,0.05263157894736842,False
ryko512,57,0,0,0,9.892,20.423684210526318,0.0,False
ryzo168,57,8,1,7,13.5,14.708228070175439,0.14035087719298245,True
saca329,57,3,0,3,11.3945,18.00733333333333,0.05263157894736842,False
safu128,57,0,0,0,17.26325,23.330140350877194,0.0,False
sapu497,57,0,0,0,11.451,19.541701754385965,0.0,False
sati762,57,0,0,0,11.6155,18.095964912280703,0.0,False
saze236,57,4,3,1,12.35525,22.4499298245614,0.07017543859649122,False
sazy810,57,0,0,0,10.59625,15.717315789473686,0.0,False
sedi312,57,0,0,0,10.5915,14.736964912280701,0.0,False
sedo490,57,4,3,1,15.097,14.54791489361702,0.07017543859649122,False
sefy975,57,2,2,0,15.440666666666663,17.74636,0.03508771929824561,False
sejy814,57,0,0,0,7.6,10.672461538461537,0.0,False
sesi698,57,0,0,0,8.99825,15.213333333333333,0.0,False
seto741,57,10,7,3,7.7665,10.184333333333333,0.17543859649122806,True
sila763,57,0,0,0,12.894,16.14119298245614,0.0,False
sina926,57,0,0,0,7.890333333333333,11.837929824561403,0.0,False
sipy389,57,0,0,0,16.0554,20.781870967741938,0.0,False
sira606,57,0,0,0,10.321958333333333,13.832076923076924,0.0,False
sire515,57,30,0,30,4.181666666666667,10.089315789473684,0.5263157894736842,True
siry766,57,0,0,0,19.7748,33.166964912280704,0.0,False
sivi804,57,0,0,0,13.975,20.11117543859649,0.0,False
sony276,57,0,0,0,8.1668,16.109912280701753,0.0,False
soru820,57,0,0,0,18.254,28.603350877192984,0.0,False
sugu976,57,21,11,10,8.241,10.59563157894737,0.3684210526315789,True
sulo956,57,0,0,0,12.859,20.424245614035087,0.0,False
suzo040,57,0,0,0,9.875,23.64505263157895,0.0,False
syco853,57,0,0,0,13.885666666666664,28.782035087719297,0.0,False
syti148,57,4,2,2,9.9925,17.81625730994152,0.07017543859649122,False
syvi476,57,29,21,8,7.4708,10.261912280701754,0.5087719298245614,True
syzu625,57,0,0,0,11.853,23.750701754385965,0.0,False
tapi010,57,9,4,5,7.351833333333333,8.7328984375,0.15789473684210525,True
tatu362,57,0,0,0,14.0,24.45678947368421,0.0,False
taxa827,57,21,6,15,5.87975,9.411473684210526,0.3684210526315789,True
tebe135,57,0,0,0,12.2,19.87561403508772,0.0,False
tebo981,57,0,0,0,8.2,14.337543859649124,0.0,False
tepu554,57,0,0,0,13.483666666666666,18.450754385964913,0.0,False
texu966,57,3,3,0,11.59175,14.617853801169591,0.05263157894736842,False
tezy480,57,0,0,0,6.6,11.214947368421052,0.0,False
tiqy778,57,0,0,0,8.0922,14.340035087719299,0.0,False
tiro932,57,0,0,0,11.87225,16.57385964912281,0.0,False
tivy194,57,0,0,0,9.7,11.52312727272727,0.0,False
togu404,57,0,0,0,13.4925,18.222333333333335,0.0,False
tomo782,57,2,2,0,9.1,17.078045454545453,0.03508771929824561,False
tosa657,57,0,0,0,7.442,11.91417543859649,0.0,False
tubo945,57,12,1,11,6.8,11.692859649122807,0.21052631578947367,True
tuby409,57,3,0,3,7.809333333333333,14.54301754385965,0.05263157894736842,False
tufa140,57,0,0,0,7.72675,11.777280701754387,0.0,False
tuga736,57,8,6,2,8.64425,11.686859649122805,0.14035087719298245,True
tujy672,57,5,3,2,10.596333333333334,13.168666666666667,0.08771929824561403,False
turi097,57,4,1,3,12.182,13.99242105263158,0.07017543859649122,False
tusi463,57,0,0,0,12.2115,18.74324561403509,0.0,False
tuve726,57,0,0,0,15.11025,20.035000000000004,0.0,False
tuvu087,57,8,0,8,12.936,16.309275,0.14035087719298245,True
